Date;AI.PA;AIR.PA;ALO.PA;MT.AS;CS.PA;BNP.PA;EN.PA;CAP.PA;CA.PA;ACA.PA;BN.PA;DSY.PA;ENGI.PA;EL.PA;ERF.PA;RMS.PA;KER.PA;OR.PA;LR.PA;MC.PA;ML.PA;ORA.PA;RI.PA;PUB.PA;RNO.PA;SAF.PA;SGO.PA;SAN.PA;SU.PA;GLE.PA;STLA.PA;STM.PA;TEP.PA;HO.PA;TTE.PA;URW.AS;VIE.PA;DG.PA;VIV.PA;WLN.PA
2000-01-03;18.31359100341797;;;;5.65010404586792;16.165971755981445;21.838985443115234;163.2477264404297;53.379600524902344;;15.246005058288574;5.694493293762207;12.04344367980957;10.274839401245117;0.9015400409698486;37.3775634765625;122.77546691894531;55.29255676269531;;58.49880599975586;20.466184616088867;40.522743225097656;13.216169357299805;;26.16389274597168;32.28034210205078;23.364076614379883;19.861175537109375;20.566503524780273;17.228164672851562;;;16.0627384185791;20.101890563964844;11.044075965881348;10.233083724975586;;5.191238880157471;32.047607421875;
2000-01-04;17.500856399536133;;;;5.442380905151367;15.711578369140625;20.757333755493164;151.31832885742188;50.00519943237305;;14.58600902557373;5.133418560028076;11.83255386352539;10.344500541687012;0.9024067521095276;35.0906982421875;117.38343811035156;51.36811065673828;;52.96513366699219;20.2038631439209;38.357425689697266;13.204190254211426;;25.466903686523438;30.87557601928711;22.928272247314453;18.62602996826172;19.83757209777832;17.150909423828125;;;16.817142486572266;19.954082489013672;10.642475128173828;10.404983520507812;;4.8900532722473145;30.504026412963867;
2000-01-05;17.33831024169922;;;;5.35929012298584;15.379528045654297;20.362443923950195;136.390625;47.6489372253418;;14.52000904083252;4.735641002655029;11.666852951049805;10.630105972290039;0.8581966757774353;32.524322509765625;111.41886138916016;49.61614227294922;;51.17328643798828;19.95697593688965;36.34673309326172;13.132296562194824;;25.57413673400879;28.55719757080078;22.649839401245117;17.84047508239746;19.004491806030273;16.996397018432617;;;16.147504806518555;18.9194278717041;10.374741554260254;10.395161628723145;;5.001192092895508;29.768993377685547;
2000-01-06;18.584503173828125;;;;5.317744731903076;14.855225563049316;19.57267189025879;137.2837371826172;46.83442687988281;;15.576006889343262;4.794261455535889;11.825020790100098;10.97143840789795;0.8408595323562622;31.762039184570312;106.40858459472656;51.50827407836914;;50.59357833862305;20.59991455078125;35.882747650146484;13.192209243774414;;27.316608428955078;29.637798309326172;22.552997589111328;18.527217864990234;19.96773910522461;16.84188461303711;;;16.952768325805664;19.605249404907227;10.07353687286377;10.707040786743164;;5.167898178100586;29.419845581054688;
2000-01-07;18.35693359375;;;;5.4839253425598145;15.047465324401855;19.297971725463867;144.1734619140625;48.87070846557617;;15.642007827758789;5.024553298950195;11.599065780639648;10.943575859069824;0.8529955148696899;33.7948112487793;104.64303588867188;52.559471130371094;;50.59357833862305;21.32001495361328;36.96540832519531;13.539690017700195;;27.852746963500977;30.40403175354004;22.226139068603516;19.515336990356445;20.332204818725586;16.84188461303711;;;17.207054138183594;20.722684860229492;10.123738288879395;10.640737533569336;;5.334603786468506;29.658733367919922;
2000-01-10;17.717588424682617;;;;5.4839253425598145;15.134849548339844;20.65432357788086;153.16835021972656;47.12532043457031;;15.457206726074219;5.108294486999512;11.538808822631836;10.483819007873535;0.9440162777900696;34.93824005126953;109.74874877929688;53.575618743896484;;52.72797393798828;21.39716148376465;37.64594268798828;13.74338150024414;;26.759014129638672;31.533742904663086;22.637737274169922;19.09539031982422;19.99376678466797;16.76462745666504;;;18.224218368530273;20.811370849609375;10.132105827331543;10.756156921386719;;5.112329483032227;32.3232421875;
2000-01-11;17.55504035949707;;;;5.35929012298584;14.575592041015625;21.495601654052734;165.86329650878906;45.61265182495117;;15.30540943145752;5.016177654266357;11.440895080566406;10.55347728729248;0.9492174386978149;33.74398422241211;112.61174011230469;52.62954330444336;;53.755680084228516;20.85708999633789;36.4704704284668;13.43185043334961;;26.700035095214844;33.68511199951172;21.185043334960938;19.342416763305664;19.22578239440918;16.84188461303711;;;18.648040771484375;20.69312858581543;10.207405090332031;10.805273056030273;;5.334603786468506;32.92964553833008;
2000-01-12;17.758766174316406;;;;5.35929012298584;14.715408325195312;20.90498924255371;159.48390197753906;47.41621398925781;;15.708009719848633;4.823570728302002;11.471024513244629;10.44898796081543;0.9578863382339478;34.277584075927734;114.52043151855469;50.24684524536133;;56.127235412597656;20.59991455078125;35.44968032836914;13.465362548828125;;27.8259334564209;33.68511199951172;21.681379318237305;18.922468185424805;19.53818130493164;16.56993865966797;;;18.987092971801758;20.628089904785156;10.040070533752441;10.886313438415527;;5.223466873168945;31.71683692932129;
2000-01-13;18.1727237701416;;;;5.4839253425598145;14.680455207824707;21.80464744567871;154.50799560546875;45.8162841796875;;15.714606285095215;5.016177654266357;11.22247314453125;10.260907173156738;0.9622205495834351;35.80217361450195;114.04327392578125;50.56220245361328;;59.55284881591797;20.5793399810791;35.72807312011719;13.891868591308594;;28.442508697509766;36.53396224975586;22.359304428100586;18.7989501953125;20.5274600982666;16.301088333129883;;;18.81757164001465;20.101890563964844;9.998234748840332;11.009099960327148;;5.167898178100586;33.53606414794922;
2000-01-14;18.57366943359375;;;;5.567014694213867;14.942607879638672;21.976333618164062;160.12184143066406;45.52538299560547;;15.602407455444336;5.338587284088135;11.192342758178711;10.609207153320312;0.8885369896888733;39.3595085144043;113.80467987060547;52.559471130371094;;61.924415588378906;20.985681533813477;37.70782470703125;13.526289939880371;;28.415700912475586;38.36114501953125;22.0445556640625;19.609207153320312;20.436344146728516;16.53285789489746;;;18.81757164001465;22.11208152770996;10.257606506347656;11.271862030029297;;5.112329483032227;33.95870590209961;
