4.300000 1.400000 
7.500000 3.280000 
1.700000 1.650000 
0.100000 0.110000 
4.700000 1.350000 
8.300000 3.060000 
0.800000 1.500000 
3.800000 2.310000 
5.300000 4.650000 
5.700000 1.070000 
2.300000 0.900000 
0.500000 0.290000 
3.900000 1.040000 
0.600000 0.870000 
3.100000 1.740000 
0.900000 0.370000 
5.400000 2.820000 
5.600000 3.470000 
1.200000 1.130000 
4.400000 2.290000 
0.300000 1.050000 
3.000000 1.430000 
2.900000 1.590000 
4.100000 0.740000 
0.600000 0.350000 
5.500000 1.240000 
1.200000 0.780000 
1.200000 0.720000 
6.100000 1.330000 
7.500000 1.880000 
3.200000 0.660000 
1.400000 0.180000 
1.300000 0.130000 
0.700000 0.120000 
1.300000 0.230000 
1.600000 0.210000 
0.600000 0.100000 
0.900000 0.150000 
1.300000 0.130000 
4.600000 0.130000 
6.300000 0.130000 
6.100000 0.150000 
8.100000 0.110000 
5.500000 1.600000 
3.500000 1.920000 
1.800000 1.810000 
4.830000 1.490000 
2.300000 1.750000 
5.000000 1.540000 
